id,type,network,symbol,buy_exchange,sell_exchange,buy_price,sell_price,optimized_amount,expected_profit,standard_profit,flashloan_profit,standard_gas_cost,flashloan_gas_cost,risk_score,execution_venue,buy_venue_type,sell_venue_type,execution_strategy,timestamp,ai_recommended_strategy,ai_confidence,actual_profit,executed_at,execution_gas_cost,status,executing_trader,ai_profit,best_strategy,exchange,trading_path,trading_pairs,prices
opp_direct_8_7469,direct,arbitrum,WBTC/ETH,sushiswap,curve,3981.1647966059163,3810.7854468989217,4.615697394481145,-786.4236281677295,-786.4236281677295,-3986.914453670423,0.004107651762607116,0.004222718630674311,0.35907293468157453,onchain,dex,dex,standard,2025-03-27T13:14:57.450683,standard,0.99,-786.4236281677295,2025-03-27T13:14:57.451436,0.004107651762607116,success,AIOptimizedTrader,-786.4236281677295,standard,,,,
opp_direct_3_9697,direct,polygon,MATIC/USDT,pancakeswap,uniswap,3209.0399655773012,3150.439183486905,4.462345469791244,-261.5003641336975,-261.5003641336975,-1042.463606635767,0.003429646394914073,0.006931760530126406,0.1858336322257848,onchain,dex,dex,standard,2025-03-27T13:14:57.448528,standard,0.99,-261.5003641336975,2025-03-27T13:14:57.448985,0.003429646394914073,success,AIOptimizedTrader,-261.5003641336975,standard,,,,
opp_direct_3_6335,direct,optimism,USDC/DAI,curve,sushiswap,3285.2039097284132,3165.3940722900593,1.6580340281700026,-198.65286179516715,-198.65286179516715,-701.3864642627177,0.004074412859965477,0.007991692902762526,0.42813002349325135,onchain,dex,dex,standard,2025-03-27T13:14:57.445745,standard,0.99,-198.65286179516715,2025-03-27T13:14:57.446464,0.004074412859965477,success,AIOptimizedTrader,-198.65286179516715,standard,,,,
opp_triangle_2_9208,triangle,ethereum,,,,,,1.754798668453498,0.10751278678644711,0.011162816484735862,0.10751278678644711,0.0024772154807907072,0.004246480663653496,0.31522476124686033,onchain,,,flashloan,2025-03-27T13:14:57.445735,flashloan,0.99,0.10751278678644711,2025-03-27T13:14:57.446459,0.004246480663653496,success,AIOptimizedTrader,0.10751278678644711,flashloan,curve,"['MATIC', 'USDC', 'WBTC', 'ETH', 'MATIC']","['MATIC/USDC', 'USDC/WBTC', 'WBTC/ETH', 'ETH/MATIC']","[1370.2623684274454, 1389.578147506099, 1388.9843271165298, 1376.826818915022]"
opp_triangle_1_9890,triangle,ethereum,,,,,,5.171470710396614,0.45760193175115876,0.0397011284633135,0.45760193175115876,0.005691790624394772,0.009586431878664876,0.14326364992456167,onchain,,,flashloan,2025-03-27T13:14:57.447727,flashloan,0.99,0.45760193175115876,2025-03-27T13:14:57.448376,0.009586431878664876,success,AIOptimizedTrader,0.45760193175115876,flashloan,balancer,"['USDC', 'ETH', 'DAI', 'USDT', 'USDC']","['USDC/ETH', 'ETH/DAI', 'DAI/USDT', 'USDT/USDC']","[582.2452490474293, 575.852622574224, 575.8677751320309, 566.1438391104056]"
opp_direct_1_2618,direct,polygon,MATIC/USDT,sushiswap,uniswap,4998.531568183997,5205.551587153269,0.3808180080959235,1265.9467314782835,78.83394731965736,1265.9467314782835,0.0030039402012213526,0.003856308756325136,0.2500315513664859,onchain,dex,dex,flashloan,2025-03-27T13:14:57.452326,flashloan,0.99,1265.9467314782835,2025-03-27T13:14:57.453080,0.003856308756325136,success,AIOptimizedTrader,1265.9467314782835,flashloan,,,,
opp_triangle_5_7211,triangle,base,,,,,,4.82861810603964,-0.07830587720399328,-0.07830587720399328,-0.2076168206121093,0.0034787323657951307,0.005477286726532017,0.34606285489707805,onchain,,,standard,2025-03-27T13:14:57.446630,standard,0.99,-0.07830587720399328,2025-03-27T13:14:57.447155,0.0034787323657951307,success,AIOptimizedTrader,-0.07830587720399328,standard,pancakeswap,"['USDT', 'WBTC', 'ETH', 'USDT']","['USDT/WBTC', 'WBTC/ETH', 'ETH/USDT']","[1665.3921330408496, 1688.6030356388028, 1706.105854692356]"
opp_direct_1_4365,direct,arbitrum,ETH/USDT,sushiswap,uniswap,1665.5881325264015,1592.0450510660999,3.714872042687755,-273.2072053410931,-273.2072053410931,-1828.468866025561,0.004068091110303847,0.006334429512904624,0.19082394359998744,onchain,dex,dex,standard,2025-03-27T13:14:57.453903,standard,0.99,-273.2072053410931,2025-03-27T13:14:57.454474,0.004068091110303847,success,AIOptimizedTrader,-273.2072053410931,standard,,,,
opp_direct_2_8311,direct,optimism,USDC/DAI,sushiswap,pancakeswap,2032.010900564478,1963.3055518396106,4.9446917719964665,-339.72790643145794,-339.72790643145794,-1164.4041721041015,0.0011338994578748195,0.007475470197455327,0.29986720320117777,onchain,dex,dex,standard,2025-03-27T13:14:57.434307,standard,0.99,-339.72790643145794,2025-03-27T13:14:57.434675,0.0011338994578748195,success,AIOptimizedTrader,-339.72790643145794,standard,,,,
opp_triangle_1_6655,triangle,polygon,,,,,,9.482575399470669,1.0229730384394764,0.11216207230813995,1.0229730384394764,0.003658538310986725,0.009858318306057403,0.21684876645460224,onchain,,,flashloan,2025-03-27T13:14:57.450585,flashloan,0.99,1.0229730384394764,2025-03-27T13:14:57.451392,0.009858318306057403,success,AIOptimizedTrader,1.0229730384394764,flashloan,pancakeswap,"['USDT', 'DAI', 'MATIC', 'USDT']","['USDT/DAI', 'DAI/MATIC', 'MATIC/USDT']","[1691.6603899580236, 1708.6880215393685, 1675.661953028112]"
